OrderiD,Item_Id,CustomerCode,CountryName,customer_country,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName
1275,1282,M-1,USA,M-1USA,1,180,675,DOUBLE BACK,D.B. LEFA VISCOSE+VISCOSE 5PLY,CHECKERD VISCOSE,SILVER,REC
1275,7515,M-1,USA,M-1USA,1,180,630,HANDWOVEN,SHAGGY 30C MS+30C HS,NOURA PILE [MOROCCAN] ,IRON,REC
1275,80,M-1,USA,M-1USA,2,80,624,DOUBLE BACK,D.B. LILEN 2/8+VISCOSE 5PLY,PLAIN,PRAIR,REC
1275,1438,M-1,USA,M-1USA,1,180,576,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,SAND,REC
1275,9032,M-1,USA,M-1USA,1,140,546,DOUBLE BACK,D.B. LILEN 2/8+VISCOSE 5PLY,PLAIN,CREAM,REC
1275,4640,M-1,USA,M-1USA,4,35,525,DOUBLE BACK,D.B. LEFA VISCOSE+VISCOSE 5PLY,CHECKERD VISCOSE,GUNMETAL,REC
1275,1165,M-1,USA,M-1USA,1,108,491.4,DOUBLE BACK,D.B. LEFA VISCOSE,PLAIN,WHITE,REC
1275,1449,M-1,USA,M-1USA,1,140,448,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,GRAPHITE,REC
1275,3401,M-1,USA,M-1USA,7,54,415.8,DURRY,FLATWOVEN PET YARN+PVC,HEATHERED,FOG/9-19,REC
1275,2498,M-1,USA,M-1USA,4,24.75,321.75,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,NAVY/GREY,REC
1275,2503,M-1,USA,M-1USA,4,24.75,321.75,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/CREAM,REC
1275,3702,M-1,USA,M-1USA,4,24.75,316.8,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,GREY,REC
1275,2381,M-1,USA,M-1USA,2,35,280,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,GRECO,CHARCOAL,REC
1275,3703,M-1,USA,M-1USA,3,24.75,237.6,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,SAND,REC
1275,3397,M-1,USA,M-1USA,1,108,118.8,DURRY,FLATWOVEN PET YARN,HEATHERED,BLUE/18-19,REC
1275,3394,M-1,USA,M-1USA,3,35,115.5,DURRY,FLATWOVEN PET YARN,HEATHERED,BLUE/18-19,REC
1275,2494,M-1,USA,M-1USA,1,35,113.75,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,PLAT/CREAM,REC
1275,1445,M-1,USA,M-1USA,1,35,112,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,GREY,REC
1275,3396,M-1,USA,M-1USA,1,80,88,DURRY,FLATWOVEN PET YARN,HEATHERED,BLUE/18-19,REC
1275,3701,M-1,USA,M-1USA,1,24.75,79.2,HANDWOVEN,SHAGGY 00C FELTED V/V,TEXTURE LOOP,GRAPHITE,REC
1278,10034,T-2,ITALY,T-2ITALY,70,6.4,17472,HAND TUFTED,TUFTED 60C,GARA JUTTAN,COL-159 MULTI,REC
1278,5962,T-2,ITALY,T-2ITALY,30,6.4,7488,HAND TUFTED,TUFTED 60C,BLUE RUG,COL-150 MULTI,REC
1278,5963,T-2,ITALY,T-2ITALY,10,6.4,2368,HAND TUFTED,TUFTED 60C,RED RUG,COL-156 MULTI,REC
1286,1006,C-1,USA,C-1USA,12,117,5616,KNOTTED,KNOTTED 3/25 30C MS+30C HS,KASBAH STAR,G-1/G-2,REC
1286,3058,C-1,USA,C-1USA,3,88,1092.96,HANDWOVEN,SHAGGY 0C FELTED,45 MULTI,MULTI,REC
1286,52,C-1,USA,C-1USA,6,40,993.6,HANDWOVEN,SHAGGY 0C FELTED,45 MULTI,MULTI,REC
1286,10109,C-1,USA,C-1USA,3,49,608.58,HANDWOVEN,SHAGGY 0C FELTED,FNR-5,MULTI,ROUND
1286,8232,C-1,USA,C-1USA,10,15,600,KNOTTED,KNOTTED 3/25 30C MS+30C HS,KASBAH STAR,G-1/G-2,REC
1287,600,C-1,USA,C-1USA,10,88,2332,HAND TUFTED,TUFTED 60C,GREAT PLAIN [9681],MULTI,REC
1287,814,C-1,USA,C-1USA,4,63,667.8,HAND TUFTED,TUFTED 60C,TIMBER [D-11044],RUST,REC
1287,10110,C-1,USA,C-1USA,4,63,667.8,HAND TUFTED,TUFTED 60C,GREAT PLAIN [D-11563],MULTI,REC
1287,812,C-1,USA,C-1USA,4,40,424,HAND TUFTED,TUFTED 60C,TIMBER [D-11044],RUST,REC
1287,598,C-1,USA,C-1USA,5,15,198.75,HAND TUFTED,TUFTED 60C,GREAT PLAIN [9681],MULTI,REC
1287,2948,C-1,USA,C-1USA,4,15,159,HAND TUFTED,TUFTED 60C,TIMBER [D-11044],RUST,REC
1288,916,C-1,USA,C-1USA,3,40,318,HAND TUFTED,TUFTED 60C,REGAL [10821],BLACK/BURGANDY,REC
1288,915,C-1,USA,C-1USA,6,15,238.5,HAND TUFTED,TUFTED 60C,REGAL [10821],BLACK/BURGANDY,REC
1289,1769,C-1,USA,C-1USA,8,108,1814.4,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9433],BLUE/IVORY,REC
1289,1768,C-1,USA,C-1USA,8,80,1344,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9433],BLUE/IVORY,REC
1289,1770,C-1,USA,C-1USA,8,80,1344,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9436],IVORY/BLUE,REC
1289,1771,C-1,USA,C-1USA,4,108,907.2,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9436],IVORY/BLUE,REC
1289,774,C-1,USA,C-1USA,10,40,840,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9436],IVORY/BLUE,REC
1290,724,C-1,USA,C-1USA,3,140,873.6,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],RED/IVORY,REC
1290,732,C-1,USA,C-1USA,3,140,873.6,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],GREY/IVORY,REC
1290,722,C-1,USA,C-1USA,4,88,732.16,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],RED/IVORY,REC
1290,730,C-1,USA,C-1USA,4,88,732.16,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],GREY/IVORY,REC
1290,763,C-1,USA,C-1USA,3,108,673.92,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],NAVY/BEIGE,REC
1290,756,C-1,USA,C-1USA,2,140,582.4,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],BLUE/IVORY,REC
1290,753,C-1,USA,C-1USA,4,63,524.16,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],BLUE/IVORY,REC
1290,761,C-1,USA,C-1USA,4,63,524.16,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],NAVY/BEIGE,REC
1290,755,C-1,USA,C-1USA,2,108,449.28,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],BLUE/IVORY,REC
1290,719,C-1,USA,C-1USA,6,24,299.52,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],RED/IVORY,REC
1290,718,C-1,USA,C-1USA,6,16,199.68,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],RED/IVORY,REC
1291,3637,C-1,USA,C-1USA,3,63,854.28,HAND TUFTED,TUFTED 60C SEMI WORSTED,MARTHAS [14968],BLUE/BEIGE,REC
1291,842,C-1,USA,C-1USA,2,88,795.52,HAND TUFTED,TUFTED 60C SEMI WORSTED,MARTHAS [10895],BLACK/BLACK,REC
1291,857,C-1,USA,C-1USA,2,88,795.52,HAND TUFTED,TUFTED 60C SEMI WORSTED,MARTHAS [14968],BLACK/BEIGE,REC
1291,835,C-1,USA,C-1USA,3,40,542.4,HAND TUFTED,TUFTED 60C SEMI WORSTED,MARTHAS [10848],GOLD/GOLD,REC
